LocalCol;TimeCol;PLC1_AI_LT_BACINO;PLC1_AI_FT_PORT_IST;PLC1_AI_LT_SCAR_C;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_INTERNO1;PLC1_AI_PT_TURBINA_OUT;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINAmt;PLC1_AI_FT_PORT_COND;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;LIVELLO VASCA FORESTA [EW164];MISURATORE DI PORTATA TURBINA [EW172];LIVELLO VASCA DI SCARICO [EW168];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO INTERNO TORRINO FORESTA [EW170];PRESSIONE USCITA ACQUA TURBINATA [EW174];POSIZIONE DISTRIBUTORE [EW180];PRESSIONE ACQUA TURBINA [EW182];MISURATORE DI PORTATA 1600 [E1.5];;;;;;;;;;;;
11/06/2024 20:30;11/06/2024 18:30;2,64222;1,9668;59,9995;206,949;2,83485;-0,208406;100,104;12,4444;3,08993;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 20:45;11/06/2024 18:45;2,62533;1,96571;60,0422;204,229;2,83464;-0,221644;100,113;12,5861;3,08258;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 21:00;11/06/2024 19:00;2,63378;1,93251;60,0157;204,539;2,82444;-0,219618;100,109;12,6775;3,06627;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 21:15;11/06/2024 19:15;2,60044;1,96745;59,9891;202,181;2,81901;-0,210214;100,104;12,6672;3,03879;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 21:30;11/06/2024 19:30;2,6;1,95747;60,0081;200,269;2,8125;-0,220486;100,109;12,7808;3,02328;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 21:45;11/06/2024 19:45;2,58133;1,97417;60,0192;203,002;2,81727;-0,21072;100,109;12,4784;3,01306;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 22:00;11/06/2024 20:00;2,56311;1,93859;60,0213;206,267;2,81141;-0,208044;100,113;12,6392;3,01007;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 22:15;11/06/2024 20:15;2,58089;1,94401;60,0223;204,594;2,81055;-0,20515;100,113;12,4784;2,9864;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 22:30;11/06/2024 20:30;2,56889;1,93056;59,9967;204,701;2,81293;-0,213252;100,104;12,5846;3,0053;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 22:45;11/06/2024 20:45;2,62356;1,96528;60,0085;205,717;2,81966;-0,222367;100,109;12,7587;3,02363;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 23:00;11/06/2024 21:00;2,62889;1,92622;59,9791;205,17;2,83268;-0,218027;100,109;12,7852;3,10077;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 23:15;11/06/2024 21:15;2,64089;1,97374;59,9889;205,072;2,83681;-0,21752;100,104;12,5698;3,12659;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 23:30;11/06/2024 21:30;2,64711;1,93359;60,0196;204,963;2,84353;-0,215133;100,104;12,499;3,16152;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 23:45;11/06/2024 21:45;2,65378;1,96202;60,0181;205,426;2,84115;-0,21752;100,113;12,6923;3,14458;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024;11/06/2024 22:00;2,64444;1,95855;60,0279;205,96;2,83963;-0,224175;100,095;12,6288;3,13163;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 00:15;11/06/2024 22:15;2,64578;1,93424;60,0312;204,406;2,83355;-0,224754;100,118;12,6893;3,12723;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 00:30;11/06/2024 22:30;2,64711;1,94944;60,0691;203,016;2,84527;-0,210938;100,109;12,5993;3,13175;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 00:45;11/06/2024 22:45;2,65156;1,94336;60,0504;202,608;2,83246;-0,218244;100,104;12,7174;3,08377;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 01:00;11/06/2024 23:00;2,62667;1,96311;60,0403;203,12;2,83268;-0,215712;100,109;12,7469;3,06638;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 01:15;11/06/2024 23:15;2,668;1,96246;59,9762;203,646;2,82161;-0,214699;100,113;12,7498;3,02437;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 01:30;11/06/2024 23:30;2,61911;1,97917;60,018;203,654;2,83008;-0,216363;100,109;12,5271;3,08516;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 01:45;11/06/2024 23:45;2,63645;1,98351;60,0097;203,342;2,83138;-0,226201;100,109;12,6111;3,06923;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 02:00;12/06/2024;2,61822;1,92014;60,0338;204,71;2,82986;-0,205512;100,104;12,5108;3,06814;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 02:15;12/06/2024 00:15;2,64267;1,95052;60,0587;203,443;2,82986;-0,217086;100,095;12,648;3,0796;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 02:30;12/06/2024 00:30;2,62889;1,96007;60,037;202,083;2,83312;-0,222222;100,113;12,7262;3,08066;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 02:45;12/06/2024 00:45;2,64089;1,92708;60,0509;203,451;2,83594;-0,216942;100,095;12,5374;3,05731;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 03:00;12/06/2024 01:00;2,64533;1,94076;60,0332;203,645;2,82357;-0,209635;100,104;12,7956;3,01607;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 03:15;12/06/2024 01:15;2,58933;1,97656;60,047;205,36;2,82031;-0,220848;100,095;12,6879;3,02503;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 03:30;12/06/2024 01:30;2,58978;1,98372;60,03;203,03;2,81467;-0,217448;100,113;12,7115;3,00432;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 03:45;12/06/2024 01:45;2,56533;1,95747;59,9853;202,008;2,81163;-0,21752;100,109;12,5359;2,95576;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 04:00;12/06/2024 02:00;2,59645;1,95421;60,0184;201,64;2,81532;-0,216074;100,095;12,6288;2,992;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 04:15;12/06/2024 02:15;2,60133;1,92882;60,0209;204,08;2,82227;-0,207031;100,113;12,4179;3,01788;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 04:30;12/06/2024 02:30;2,64;1,96745;59,9956;203,947;2,81792;-0,225043;100,095;12,682;3,03359;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 04:45;12/06/2024 02:45;2,65556;1,93924;60,0638;203,536;2,82834;-0,210286;100,131;12,5226;3,03108;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 05:00;12/06/2024 03:00;2,62222;1,95551;60,037;205,293;2,82552;-0,218533;100,104;12,5507;3,07913;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 05:15;12/06/2024 03:15;2,64;1,93945;60,0151;203,206;2,82357;-0,225839;100,118;12,6451;3,02355;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 05:30;12/06/2024 03:30;2,60311;1,95486;60,0496;203,387;2,81684;-0,211444;100,113;12,7513;3,03344;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 05:45;12/06/2024 03:45;2,64089;1,94292;60,0343;203,482;2,824;-0,208189;100,109;12,7321;3,06958;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 06:00;12/06/2024 04:00;2,63467;1,94944;60,0441;203,36;2,83572;-0,203776;100,109;12,6436;3,07206;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 06:15;12/06/2024 04:15;2,65556;1,93403;60,0466;203,176;2,84397;-0,227286;100,104;12,4739;3,10978;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 06:30;12/06/2024 04:30;2,65422;1,94119;60,0212;206,296;2,84223;-0,232494;100,118;12,6436;3,12198;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 06:45;12/06/2024 04:45;2,66;1,94553;60,0461;202,906;2,84961;-0,214988;100,095;12,5772;3,11399;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 07:00;12/06/2024 05:00;2,65689;1,94683;60,0274;204,182;2,83116;-0,204427;100,104;12,5448;3,08501;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 07:15;12/06/2024 05:15;2,61778;1,94878;59,9746;203,451;2,82704;-0,225767;100,113;12,8959;3,05995;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 07:30;12/06/2024 05:30;2,60267;1,9566;60,0727;202,723;2,82617;-0,229239;100,113;12,7424;3,02963;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 07:45;12/06/2024 05:45;2,62711;1,93056;60,0194;202,774;2,82335;-0,209491;100,104;12,7808;3,03691;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2024 08:00;12/06/2024 06:00;2,60356;1,94922;60,0521;204,731;2,82053;-0,223741;100,104;12,5949;3,02777;0;0;0;0;0;0;0;0;0;0;0;0
