t,QPAR,QST,Q,PPAR,PST,P,Bar,etaPAR,etaST,eta
2022-12-10 04:30:00,28.5411,49.7376575,78.2787575,51.42725,104.96981,156.39706,27.03079875,0.674215743565658,0.717933102868386,0.706428534630826
2022-12-10 05:30:00,29.194485,28.1993325,57.3938175,55.86575,59.3239,115.18965,27.97825,0.685602415590291,0.705082354290469,0.699956054632527
2022-12-10 06:30:00,28.71367,61.374305,90.087975,52.76675,128.6025675,181.3693175,27.004115,0.679861506157285,0.77870088534897,0.752690522403789
2022-12-10 07:30:00,28.4996625,64.9246975,93.42436,51.09175,137.32125,188.413,26.76255875,0.67330231608411,0.785765419658492,0.756169866086286
2022-12-10 08:30:00,28.4905775,64.1443575,92.634935,51.17275,137.431,188.60375,26.7793675,0.674350845593589,0.795204448946998,0.763400869117153
2022-12-10 09:30:00,28.5047725,65.27732,93.7820925,51.289125,137.38835,188.677475,26.7693825,0.674919017893325,0.782526640857665,0.754208845340733
2022-12-10 10:30:00,28.4820625,63.92984,92.4119025,51.3165,137.6643,188.9808,26.78504875,0.676157425778375,0.799230622003274,0.766842938786196
2022-12-10 11:30:00,28.51953,64.09207,92.6116,51.470625,136.584125,188.05475,26.80482,0.676299143520589,0.790988264131722,0.760806916602477
2022-12-10 12:30:00,28.583675,63.5101725,92.0938475,51.390625,134.79135,186.181975,26.8139025,0.673891295536937,0.78714882100199,0.757344209037502
2022-12-10 13:30:00,28.5076075,63.74883,92.2564375,51.3195,135.04245,186.36195,26.79868125,0.675070849347229,0.786174524150942,0.75693671499207
2022-12-10 14:30:00,28.95209,31.0686075,60.0206975,53.862375,62.9266075,116.7889825,27.6985,0.678242572091192,0.691290195758702,0.687856610583041
2022-12-10 15:30:00,29.0616525,36.655645,65.7172975,54.924,79.3632375,134.2872375,27.7215375,0.683026774383675,0.773660156588483,0.749809266534586
2022-12-10 16:30:00,28.5166925,64.8643625,93.381055,51.283,137.710775,188.993775,26.7616425,0.675846696290561,0.788379183338237,0.75876537095727
2022-12-10 17:30:00,28.528615,64.63643,93.165045,51.45925,137.378775,188.838025,26.7845925,0.676939606292886,0.788963352129565,0.759483419014649
2022-12-10 18:30:00,28.520665,63.8829075,92.4035725,51.397375,136.338475,187.73585,26.7995875,0.675914475114422,0.791717042051321,0.761242682331084
2022-12-10 19:30:00,28.5388325,63.5973225,92.136155,51.767,135.5779,187.3449,26.8254925,0.679410041053957,0.790492267062879,0.761260102323689
2022-12-10 20:30:00,28.530315,63.28358,91.813895,51.7915,135.502825,187.294325,26.83298625,0.679994924252213,0.793434470878666,0.763581958608547
2022-12-10 21:30:00,28.6024075,62.37587,90.9782775,51.7595,135.224875,186.984375,26.86843125,0.676737631501755,0.802446132071647,0.769364947711149
2022-12-10 22:30:00,28.6154675,60.006705,88.6221725,51.904375,130.075825,181.9802,26.9202125,0.678042856693962,0.799662544884554,0.767657363781767
2022-12-10 23:30:00,28.6336275,56.49654,85.1301675,52.111125,121.78185,173.892975,27.0612925,0.6769699234018,0.790391319699049,0.760543583831352
2022-12-11 00:30:00,29.20697,11.08961,40.29658,56.742625,17.37438,74.117005,28.270165,0.69002351847752,0.501909196977613,0.551412965793378
2022-12-11 01:30:00,28.7568125,57.6496125,86.406425,53.067375,125.750325,178.8177,27.11631875,0.681136815707603,0.802831818486215,0.770806817755001
2022-12-11 02:30:00,28.544505,61.8462625,90.3907675,51.502875,133.8228,185.325675,26.8891025,0.67429376786834,0.80024244699482,0.767098057751009
2022-12-11 03:30:00,28.5507525,59.49185,88.0426025,51.63325,129.2629,180.89615,26.95452,0.674937137173407,0.800746969986422,0.767639119246155
2022-12-11 04:30:00,28.6393075,56.7459225,85.38523,52.24125,124.484775,176.726025,27.05993625,0.678092343235991,0.80535732076701,0.771866537206215
2022-12-11 05:30:00,28.7045875,53.83911,82.5436975,52.4225,117.41385,169.83635,27.15921875,0.676146849801631,0.798018387267642,0.765946930039744
2022-12-11 06:30:00,28.7096975,51.898995,80.6086925,52.8645,113.927325,166.791825,27.23146625,0.679652912826794,0.801465465671731,0.769409530712537
2022-12-11 07:30:00,28.70856,50.3450325,79.0535925,52.914375,110.162825,163.0772,27.27962875,0.679143187498905,0.797465633307586,0.766328147568459
2022-12-11 08:30:00,28.77498,49.287155,78.062135,52.98125,107.862175,160.843425,27.30211375,0.678275555003733,0.796421383622059,0.765330376090921
2022-12-11 09:30:00,29.0168025,29.16603725,58.18283975,54.71175,60.2653875,114.9771375,27.7748975,0.68190710987799,0.628970864152895,0.642901455133183
2022-12-11 10:30:00,29.1558825,24.5430165,53.698899,55.6575,48.6666925,104.3241925,28.02846375,0.68234794135827,0.612776902620894,0.631085070709677
2022-12-11 11:30:00,28.5411,63.0905025,91.6316025,51.37675,134.84435,186.2211,26.86208,0.672642336445308,0.79223750015335,0.760765088651234
2022-12-11 12:30:00,28.5252075,61.7859225,90.31113,51.518625,134.13755,185.656175,26.85548625,0.675265079575995,0.804579611283871,0.770549471360746
2022-12-11 13:30:00,28.5575625,60.0348625,88.592425,51.49225,130.27155,181.7638,26.9297825,0.671873719963415,0.802434129696089,0.768076127134859
2022-12-11 14:30:00,28.559835,58.7383275,87.2981625,51.78575,127.727975,179.513725,26.9999725,0.674564561041332,0.801243002905669,0.767906570836107
2022-12-11 15:30:00,28.5025,57.8118475,86.3143475,51.940625,125.83225,177.772875,27.01268625,0.678112206556248,0.801047649700976,0.768696217294469
2022-12-11 16:30:00,28.5916225,57.5973225,86.188945,51.833,125.17685,177.00985,27.02996125,0.6736442986914,0.799995930328391,0.766745500950236
2022-12-11 17:30:00,28.53656,58.585475,87.122035,51.840375,127.331025,179.1714,27.01428625,0.675319423259045,0.800577673073012,0.767614975753547
2022-12-11 18:30:00,28.58311,57.7381,86.32121,51.868625,125.568075,177.4367,27.02746,0.674610022739267,0.800276916713206,0.767206681456906
2022-12-11 19:30:00,29.05995,26.1103965,55.1703465,55.36775,51.758115,107.125865,27.9602975,0.683267780888567,0.613916745385244,0.632167017886118
2022-12-11 20:30:00,28.680745,46.2261475,74.9068925,52.86525,96.344955,149.210205,27.3752575,0.677696959174974,0.752771600412468,0.733015115876285
2022-12-11 21:30:00,28.459355,64.2931875,92.7525425,51.066125,136.62495,187.691075,26.79550625,0.672713270440823,0.789081107355281,0.758457992377792
2022-12-11 22:30:00,28.4269975,63.25676,91.6837575,51.04375,134.178275,185.222025,26.81867375,0.672877268450687,0.786635684792611,0.756699259439473
2022-12-11 23:30:00,28.488875,63.089165,91.57804,51.24925,134.995025,186.244275,26.85662125,0.67265549960051,0.792875240831876,0.761238466823622
2022-12-12 00:30:00,28.48547,62.14391,90.62938,51.224625,133.897675,185.1223,26.87683625,0.672278782545496,0.79729497340047,0.764395975807055
2022-12-12 01:30:00,28.5132825,61.2482725,89.761555,51.24825,132.434775,183.683025,26.8759175,0.672522322575524,0.799509605075408,0.766091899154386
2022-12-12 02:30:00,28.4979575,60.8782175,89.376175,51.4885,131.8193,183.3078,26.92477625,0.673877365771671,0.800236537758419,0.766984124077696
2022-12-12 03:30:00,28.4831975,60.639555,89.1227525,51.348625,131.69565,183.044275,26.924325,0.672203595000792,0.802895817081702,0.76850312706041
2022-12-12 04:30:00,28.688695,36.56715325,65.25584825,52.820625,75.7816525,128.6022775,27.44905875,0.677093405728316,0.672055400249248,0.673381191164792
2022-12-12 05:30:00,28.9021375,26.1036925,55.00583,54.1375,54.3618275,108.4993275,27.8254975,0.679988583039881,0.721595753490284,0.710646498108599
2022-12-12 06:30:00,28.58765,65.798885,94.386535,51.811875,138.329475,190.14135,26.89053,0.672628646135091,0.782791697910842,0.75380142112775
2022-12-12 07:30:00,22.197436,64.39911,86.596546,39.706625,137.223275,176.9299,27.045055,0.640996155818234,0.791498396178707,0.751892543452267
2022-12-12 08:30:00,28.839125,63.67777,92.516895,52.916375,135.4087,188.325075,26.81822875,0.687067657713166,0.789189943311263,0.762315657627553
2022-12-12 09:30:00,28.74092,63.88425,92.62517,52.94375,134.409825,187.353575,26.819145,0.689275336016263,0.781327917338394,0.75710355383257
2022-12-12 10:30:00,28.7511375,62.7030225,91.45416,52.86425,134.551625,187.415875,26.843215,0.687949487888858,0.795385467943358,0.767112841613227
2022-12-12 11:30:00,28.7114,62.640005,91.351405,52.94425,135.352525,188.296775,26.846855,0.689619006539198,0.801082807883761,0.771750228582561
2022-12-12 12:30:00,28.7607875,61.74168,90.5024675,52.7545,132.8129,185.5674,26.88706125,0.685235269509939,0.795980573569203,0.766837072500976
2022-12-12 13:30:00,28.7221875,61.72827,90.4504575,52.91025,133.041975,185.952225,26.87729625,0.688276790985099,0.79796917458545,0.769102757848516
2022-12-12 14:30:00,28.7505725,61.28179,90.0323625,53.035125,132.09325,185.128375,26.9059175,0.68875670866911,0.796882524401956,0.768428362366997
2022-12-12 15:30:00,28.76703,61.1048075,89.8718375,52.9345,132.11465,185.04915,26.9122825,0.686510620027778,0.799584161917536,0.769827966683389
2022-12-12 16:30:00,28.7664625,61.0659275,89.83239,52.924125,132.2904,185.214525,26.93341,0.685886437205218,0.800482302869221,0.770325496115536
2022-12-12 17:30:00,28.7534075,60.3325175,89.085925,52.98925,130.943975,183.933225,26.9347675,0.687415092547341,0.801458566931026,0.771447126303741
2022-12-12 18:30:00,28.7199175,60.467935,89.1878525,52.883125,130.990225,183.87335,26.960895,0.686200031788264,0.799153693027699,0.769429045333111
2022-12-12 19:30:00,28.7091325,59.7211175,88.43025,53.025,129.530875,182.555875,26.96067,0.688074239917404,0.800392046282349,0.77083472881789
2022-12-12 20:30:00,28.7471625,59.82168,88.5688425,52.772125,129.670775,182.4429,26.9406775,0.684413406414337,0.800493236621132,0.769945912882502
2022-12-12 21:30:00,28.7545425,59.4114,88.1659425,53.022125,128.6008,181.622925,26.9668,0.687024043680704,0.798361453547667,0.769062135161624
2022-12-12 22:30:00,29.2779325,23.1016775,52.37961,56.221875,44.66765,100.889525,27.98616875,0.689639442038063,0.618471397948593,0.637199830603717
2022-12-12 23:30:00,28.9520925,49.4534125,78.405505,53.951375,104.08803,158.039405,27.32301375,0.685483789255025,0.765413323582768,0.744379235601783
2022-12-13 00:30:00,28.591055,66.0268175,94.6178725,52.21575,137.82345,190.0392,26.73121875,0.685773410737263,0.777549771262613,0.753398097440153
2022-12-13 01:30:00,28.6268175,65.0386625,93.66548,52.107875,137.439075,189.54695,26.77233875,0.682583162950896,0.785870719559665,0.758689783609989
2022-12-13 02:30:00,28.644415,64.84023,93.484645,52.09325,137.01215,189.1054,26.78370125,0.6815812071319,0.785524365139502,0.758170902505923
2022-12-13 03:30:00,28.6296575,64.6471525,93.27681,52.402875,136.954025,189.3569,26.79642375,0.685539414054022,0.787280374188255,0.760506437310825
2022-12-13 04:30:00,28.63136,63.8708425,92.5022025,52.117375,137.0351,189.152475,26.80732375,0.681857002658629,0.796459203341758,0.766300729477776
2022-12-13 05:30:00,28.596165,63.40157,91.997735,52.468125,135.02815,187.496275,26.822315,0.686994511963381,0.790146741061964,0.763001417614968
