0,PRESSIONE ACQUA DI LINEA [EW166],PRESSIONE ACQUA TURBINA [EW164],G1 : Potenza attiva prodotta Turbina [STRUMENTO],MISURATORE DI PORTATA [EW168],1,2,3
03/12/2024 08:00:00,31.9689,31.1386,32.454,12.2179,ND,ND,03/12/2024 09:00:00
03/12/2024 08:15:00,31.8125,30.9766,41.9328,12.2323,ND,ND,03/12/2024 09:15:00
03/12/2024 08:30:00,30.7904,29.9595,85.0128,12.2179,ND,ND,03/12/2024 09:30:00
03/12/2024 08:45:00,31.3925,30.57,64.0332,12.2143,ND,ND,03/12/2024 09:45:00
03/12/2024 09:00:00,31.1966,30.3863,75.2184,12.1889,ND,ND,03/12/2024 10:00:00
03/12/2024 09:15:00,31.8332,31.0417,36.2736,12.207,ND,ND,03/12/2024 10:15:00
03/12/2024 09:30:00,31.7426,30.9635,43.8408,12.1962,ND,ND,03/12/2024 10:30:00
03/12/2024 09:45:00,31.1391,30.3458,84.3228,12.236,ND,ND,03/12/2024 10:45:00
03/12/2024 10:00:00,31.334,30.5295,74.3388,12.207,ND,ND,03/12/2024 11:00:00
03/12/2024 10:15:00,31.9504,31.1849,32.6388,12.1998,ND,ND,03/12/2024 11:15:00
03/12/2024 10:30:00,31.9822,31.208,33.0468,12.2287,ND,ND,03/12/2024 11:30:00
03/12/2024 10:45:00,31.7357,30.9288,55.362,12.1998,ND,ND,03/12/2024 11:45:00
03/12/2024 11:00:00,31.7789,31.0113,43.8888,12.1817,ND,ND,03/12/2024 12:00:00
03/12/2024 11:15:00,31.9528,31.1719,32.4252,12.1926,ND,ND,03/12/2024 12:15:00
03/12/2024 11:30:00,31.6297,30.8391,60.588,12.1962,ND,ND,03/12/2024 12:30:00
03/12/2024 11:45:00,31.7075,30.9187,53.5644,12.1962,ND,ND,03/12/2024 12:45:00
03/12/2024 12:00:00,31.9729,31.182,31.3176,12.2287,ND,ND,03/12/2024 13:00:00
03/12/2024 12:15:00,31.6932,30.9042,49.374,12.1998,ND,ND,03/12/2024 13:15:00
03/12/2024 12:30:00,31.6533,30.8608,63.0864,12.1998,ND,ND,03/12/2024 13:30:00
03/12/2024 12:45:00,31.8947,31.1068,33.666,12.1817,ND,ND,03/12/2024 13:45:00
03/12/2024 13:00:00,31.9161,31.1285,33.7476,12.1817,ND,ND,03/12/2024 14:00:00
03/12/2024 13:15:00,31.6045,30.816,66.1992,12.1889,ND,ND,03/12/2024 14:15:00
03/12/2024 13:30:00,31.7726,30.9795,51.09,12.2323,ND,ND,03/12/2024 14:30:00
03/12/2024 13:45:00,31.9273,31.1415,33.1872,12.1889,ND,ND,03/12/2024 14:45:00
03/12/2024 14:00:00,31.6483,30.8521,57.4608,12.207,ND,ND,03/12/2024 15:00:00
03/12/2024 14:15:00,31.8701,31.0634,38.538,12.1817,ND,ND,03/12/2024 15:15:00
03/12/2024 14:30:00,31.9966,31.208,33.1032,12.1889,ND,ND,03/12/2024 15:30:00
03/12/2024 14:45:00,31.6806,30.8898,56.7144,12.2179,ND,ND,03/12/2024 15:45:00
03/12/2024 15:00:00,31.8496,31.0692,47.352,12.207,ND,ND,03/12/2024 16:00:00
03/12/2024 15:15:00,32.019,31.2457,32.7036,12.207,ND,ND,03/12/2024 16:15:00
03/12/2024 15:30:00,31.738,30.9389,53.3784,12.2251,ND,ND,03/12/2024 16:30:00
03/12/2024 15:45:00,31.6693,30.8883,62.7912,12.2287,ND,ND,03/12/2024 16:45:00
03/12/2024 16:00:00,31.9697,31.1748,32.6172,12.2143,ND,ND,03/12/2024 17:00:00
03/12/2024 16:15:00,31.8469,31.0417,40.5384,12.2179,ND,ND,03/12/2024 17:15:00
03/12/2024 16:30:00,31.5999,30.7899,68.0772,12.1817,ND,ND,03/12/2024 17:30:00
03/12/2024 16:45:00,31.9022,31.0865,32.832,12.2143,ND,ND,03/12/2024 17:45:00
03/12/2024 17:00:00,31.6613,30.8695,51.7692,12.1745,ND,ND,03/12/2024 18:00:00
03/12/2024 17:15:00,31.6786,30.8174,46.1496,12.1781,ND,ND,03/12/2024 18:15:00
03/12/2024 17:30:00,30.8749,30.0868,84.7356,12.1781,ND,ND,03/12/2024 18:30:00
03/12/2024 17:45:00,31.2917,30.447,68.3628,12.1889,ND,ND,03/12/2024 18:45:00
03/12/2024 18:00:00,31.4869,30.6597,64.9704,12.2251,ND,ND,03/12/2024 19:00:00
03/12/2024 18:15:00,31.86,31.0489,32.5116,12.2143,ND,ND,03/12/2024 19:15:00
03/12/2024 18:30:00,31.8495,31.0344,32.4048,12.2287,ND,ND,03/12/2024 19:30:00
03/12/2024 18:45:00,32.3345,31.5365,0.0,99.8553,ND,ND,03/12/2024 19:45:00
03/12/2024 19:00:00,31.6577,30.8348,50.8656,12.2179,ND,ND,03/12/2024 20:00:00
03/12/2024 19:15:00,31.8834,31.0402,35.5884,12.2143,ND,ND,03/12/2024 20:15:00
03/12/2024 19:30:00,31.8345,31.0069,32.622,12.2287,ND,ND,03/12/2024 20:30:00
03/12/2024 19:45:00,32.3916,31.5828,0.0,99.8445,ND,ND,03/12/2024 20:45:00
03/12/2024 20:00:00,31.7459,30.91,42.732,12.1781,ND,ND,03/12/2024 21:00:00
03/12/2024 20:15:00,31.7043,30.8753,57.3096,12.1889,ND,ND,03/12/2024 21:15:00
03/12/2024 20:30:00,31.884,31.0634,32.1492,12.207,ND,ND,03/12/2024 21:30:00
03/12/2024 20:45:00,31.8874,31.0648,31.9764,12.1781,ND,ND,03/12/2024 21:45:00
03/12/2024 21:00:00,31.9792,31.1661,32.4432,12.1926,ND,ND,03/12/2024 22:00:00
03/12/2024 21:15:00,31.939,31.1126,35.8056,12.1926,ND,ND,03/12/2024 22:15:00
03/12/2024 21:30:00,31.7367,30.8999,60.1776,12.1998,ND,ND,03/12/2024 22:30:00
03/12/2024 21:45:00,32.0465,31.2153,32.886,12.1962,ND,ND,03/12/2024 22:45:00
03/12/2024 22:00:00,31.9076,31.0648,42.1044,12.1962,ND,ND,03/12/2024 23:00:00
03/12/2024 22:15:00,31.59,30.7451,71.2932,12.2179,ND,ND,03/12/2024 23:15:00
03/12/2024 22:30:00,32.0209,31.2008,33.6492,12.1926,ND,ND,03/12/2024 23:30:00
03/12/2024 22:45:00,31.9718,31.1589,42.5628,12.2251,ND,ND,03/12/2024 23:45:00
03/12/2024 23:00:00,31.5519,30.7104,82.764,12.2287,ND,ND,04/12/2024 00:00:00
03/12/2024 23:15:00,31.9444,31.1169,54.7992,12.2106,ND,ND,04/12/2024 00:15:00
03/12/2024 23:30:00,32.0415,31.2095,43.3284,12.2432,ND,ND,04/12/2024 00:30:00
03/12/2024 23:45:00,31.5396,30.6829,88.884,12.207,ND,ND,04/12/2024 00:45:00
04/12/2024 00:00:00,31.7435,30.9071,80.3268,12.1998,ND,ND,04/12/2024 01:00:00
04/12/2024 00:15:00,31.6243,30.7914,78.588,12.1998,ND,ND,04/12/2024 01:15:00
04/12/2024 00:30:00,31.4736,30.6105,106.392,12.2179,ND,ND,04/12/2024 01:30:00
04/12/2024 00:45:00,30.8815,30.0391,122.446,12.16,ND,ND,04/12/2024 01:45:00
04/12/2024 01:00:00,30.8315,29.9841,123.611,12.1998,ND,ND,04/12/2024 02:00:00
04/12/2024 01:15:00,30.8697,30.0275,124.345,12.207,ND,ND,04/12/2024 02:15:00
04/12/2024 01:30:00,31.2079,30.379,117.397,12.1781,ND,ND,04/12/2024 02:30:00
04/12/2024 01:45:00,31.6315,30.7841,97.0404,12.1926,ND,ND,04/12/2024 02:45:00
04/12/2024 02:00:00,31.6725,30.8478,90.1344,12.1817,ND,ND,04/12/2024 03:00:00
04/12/2024 02:15:00,30.766,29.9306,114.588,12.1926,ND,ND,04/12/2024 03:15:00
04/12/2024 02:30:00,30.9554,30.1186,108.989,12.1962,ND,ND,04/12/2024 03:30:00
04/12/2024 02:45:00,30.8141,29.9638,112.217,12.2179,ND,ND,04/12/2024 03:45:00
04/12/2024 03:00:00,30.7511,29.9074,112.847,12.1998,ND,ND,04/12/2024 04:00:00
04/12/2024 03:15:00,30.9762,30.1172,107.886,12.1926,ND,ND,04/12/2024 04:15:00
04/12/2024 03:30:00,31.4875,30.6568,87.9456,12.1889,ND,ND,04/12/2024 04:30:00
04/12/2024 03:45:00,31.8623,31.0156,55.5444,12.207,ND,ND,04/12/2024 04:45:00
04/12/2024 04:00:00,31.5465,30.7046,87.5724,12.1926,ND,ND,04/12/2024 05:00:00
04/12/2024 04:15:00,31.6248,30.7538,82.5828,12.2287,ND,ND,04/12/2024 05:15:00
04/12/2024 04:30:00,32.1009,31.2789,32.9508,12.2143,ND,ND,04/12/2024 05:30:00
04/12/2024 04:45:00,32.0796,31.2384,36.858,12.2287,ND,ND,04/12/2024 05:45:00
04/12/2024 05:00:00,31.5071,30.6496,84.6096,12.1889,ND,ND,04/12/2024 06:00:00
04/12/2024 05:15:00,31.6358,30.7697,71.5452,12.1889,ND,ND,04/12/2024 06:15:00
04/12/2024 05:30:00,32.0902,31.2384,33.6012,12.207,ND,ND,04/12/2024 06:30:00
04/12/2024 05:45:00,31.7982,30.8681,43.5732,118.515,ND,ND,04/12/2024 06:45:00
04/12/2024 06:00:00,31.6786,30.8406,67.1424,12.2143,ND,ND,04/12/2024 07:00:00
04/12/2024 06:15:00,31.9162,31.0778,32.8092,12.2287,ND,ND,04/12/2024 07:15:00
