LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP]
04/12/2024 10:15;04/12/2024 09:15;12,2106;14,9018;31,1487;32,8236;2,30782;40,9446
04/12/2024 10:30;04/12/2024 09:30;12,236;14,9137;31,1502;42,4236;5,16075;40,7603
04/12/2024 10:45;04/12/2024 09:45;12,2179;14,9137;31,0836;33,3384;0,194971;40,9446
04/12/2024 11:00;04/12/2024 10:00;12,2287;21,258;30,855;56,5668;0,167118;41,0367
04/12/2024 11:15;04/12/2024 10:15;12,2106;21,258;30,884;56,964;0,218845;40,8524
04/12/2024 11:30;04/12/2024 10:30;12,1889;14,7792;31,1241;32,1984;0,262613;40,8524
04/12/2024 11:45;04/12/2024 10:45;12,1998;14,9137;31,1458;33,6816;0,270571;40,8524
04/12/2024 12:00;04/12/2024 11:00;12,207;14,9137;31,1777;33,1812;0,270571;41,4024
04/12/2024 12:15;04/12/2024 11:15;12,1998;16,2625;31,02;38,7432;0,270571;40,6682
04/12/2024 12:30;04/12/2024 11:30;12,2179;23,9595;30,7089;64,7676;0,270571;39,9287
04/12/2024 12:45;04/12/2024 11:45;12,1962;25,4427;30,6641;70,1124;0,270571;40,205
04/12/2024 13:00;04/12/2024 12:00;12,2432;18,695;30,9968;47,718;0,202929;40,3215
04/12/2024 13:15;04/12/2024 12:15;12,2106;18,1531;30,9549;46,0272;0,270571;40,2917
04/12/2024 13:30;04/12/2024 12:30;12,2179;24,2363;30,7465;66,42;0,270571;40,7603
04/12/2024 13:45;04/12/2024 12:45;12,2106;23,9595;30,7914;65,9244;0,270571;40,8524
04/12/2024 14:00;04/12/2024 13:00;12,2106;14,7792;31,114;32,8716;0,270571;40,9662
04/12/2024 14:15;04/12/2024 13:15;12,2468;14,795;31,1646;32,8092;0,218845;41,2209
04/12/2024 14:30;04/12/2024 13:30;12,2143;18,1531;31,0547;45,4896;0,266592;41,0367
04/12/2024 14:45;04/12/2024 13:45;12,2179;23,5521;30,8478;64,1856;0,270571;40,8524
04/12/2024 15:00;04/12/2024 14:00;12,1998;14,9018;31,1589;33,5412;0,270571;41,0367
04/12/2024 15:15;04/12/2024 14:15;12,2251;16,2625;31,1082;38,7036;0,270571;40,8633
04/12/2024 15:30;04/12/2024 14:30;12,2323;23,0102;30,8999;62,8176;0,270571;40,4813
04/12/2024 15:45;04/12/2024 14:45;12,2106;15,9935;31,1892;37,5756;0,270571;41,4999
04/12/2024 16:00;04/12/2024 15:00;12,2106;20,7201;30,9505;54,9396;0,270571;41,0177
04/12/2024 16:15;04/12/2024 15:15;12,2432;25,0393;30,9115;69,1596;0,167118;41,1288
04/12/2024 16:30;04/12/2024 15:30;12,1926;14,9137;31,2471;33,5352;0,270571;41,6327
04/12/2024 16:45;04/12/2024 15:45;12,2323;19,5018;30,9404;50,7288;0,270571;41,034
04/12/2024 17:00;04/12/2024 16:00;12,2143;26,388;30,7899;73,0428;0,270571;40,9418
04/12/2024 17:15;04/12/2024 16:15;12,2179;14,7792;31,1936;32,6724;0,262613;41,4078
04/12/2024 17:30;04/12/2024 16:30;12,236;14,7792;31,101;32,6352;0,266592;40,6899
04/12/2024 17:45;04/12/2024 16:45;12,2287;20,1782;30,8999;52,6368;0,270571;40,3865
04/12/2024 18:00;04/12/2024 17:00;12,2143;21,1235;30,9057;56,3736;0,270571;40,8524
04/12/2024 18:15;04/12/2024 17:15;12,2287;14,9137;31,1314;33,2472;0,270571;40,8524
04/12/2024 18:30;04/12/2024 17:30;12,1962;14,9137;31,0518;32,9892;0,254655;40,484
04/12/2024 18:45;04/12/2024 17:45;12,1962;14,9137;31,0301;33,1596;0,167118;40,6682
04/12/2024 19:00;04/12/2024 18:00;12,2287;14,9097;31,0272;33,1308;0,270571;40,5761
04/12/2024 19:15;04/12/2024 18:15;12,1889;14,9137;31,0258;33,1764;0,218845;40,2971
04/12/2024 19:30;04/12/2024 18:30;12,2323;14,9137;31,02;33,0492;0,270571;40,5355
04/12/2024 19:45;04/12/2024 18:45;99,8806;0,2;31,4887;0;0,135286;41,0475
04/12/2024 20:00;04/12/2024 19:00;99,8264;0,2;31,5061;0;0,202929;41,3157
04/12/2024 20:15;04/12/2024 19:15;12,1962;14,9137;30,8984;32,0232;0;29,1981
04/12/2024 20:30;04/12/2024 19:30;12,1889;14,9137;31,0229;32,6184;0;40,4813
04/12/2024 20:45;04/12/2024 19:45;12,236;14,9137;30,9852;32,2764;0;40,4813
04/12/2024 21:00;04/12/2024 20:00;99,8626;0,2;31,5582;0;0;41,6056
04/12/2024 21:15;04/12/2024 20:15;12,2251;21,3331;30,7668;55,026;0;40,8552
04/12/2024 21:30;04/12/2024 20:30;12,2179;17,7496;31,0258;43,956;0;40,8524
04/12/2024 21:45;04/12/2024 20:45;12,236;14,8821;31,1314;32,9808;0;40,9446
