LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali]
03/12/2024 11:00;03/12/2024 10:00;12,207;26,7914;31,334;74,3388;37,6151;16,6349
03/12/2024 11:15;03/12/2024 10:15;12,1998;14,7792;31,9504;32,6388;41,1992;17,5601
03/12/2024 11:30;03/12/2024 10:30;12,2287;14,9097;31,9822;33,0468;41,4078;19,9467
03/12/2024 11:45;03/12/2024 10:45;12,1998;20,7201;31,7357;55,362;40,9364;19,6867
03/12/2024 12:00;03/12/2024 11:00;12,1817;17,6152;31,7789;43,8888;41,0502;18,0219
03/12/2024 12:15;03/12/2024 11:15;12,1926;14,7792;31,9528;32,4252;41,4078;19,5945
03/12/2024 12:30;03/12/2024 11:30;12,1962;22,4802;31,6297;60,588;40,8579;21,1197
03/12/2024 12:45;03/12/2024 11:45;12,1962;20,1782;31,7075;53,5644;40,7603;17,2824
03/12/2024 13:00;03/12/2024 12:00;12,2287;14,5103;31,9729;31,3176;40,9906;18,9728
03/12/2024 13:15;03/12/2024 12:15;12,1998;19,3674;31,6932;49,374;40,5761;21,1197
03/12/2024 13:30;03/12/2024 12:30;12,1998;23,2831;31,6533;63,0864;41,0285;18,6694
03/12/2024 13:45;03/12/2024 12:45;12,1817;14,9137;31,8947;33,666;40,9446;17,8838
03/12/2024 14:00;03/12/2024 13:00;12,1817;14,9137;31,9161;33,7476;41,2209;20,1946
03/12/2024 14:15;03/12/2024 13:15;12,1889;24,2284;31,6045;66,1992;40,7603;20,7039
03/12/2024 14:30;03/12/2024 13:30;12,2323;19,6363;31,7726;51,09;41,2236;17,2824
03/12/2024 14:45;03/12/2024 13:45;12,1889;14,9137;31,9273;33,1872;41,1288;19,6406
03/12/2024 15:00;03/12/2024 14:00;12,207;21,6614;31,6483;57,4608;40,2917;20,4709
03/12/2024 15:15;03/12/2024 14:15;12,1817;16,2625;31,8701;38,538;40,5761;17,4205
03/12/2024 15:30;03/12/2024 14:30;12,1889;14,9058;31,9966;33,1032;41,0367;19,3169
03/12/2024 15:45;03/12/2024 14:45;12,2179;21,3925;31,6806;56,7144;40,2619;21,2118
03/12/2024 16:00;03/12/2024 15:00;12,207;18,5882;31,8496;47,352;40,8524;17,3284
03/12/2024 16:15;03/12/2024 15:15;12,207;14,7792;32,019;32,7036;41,397;18,9688
03/12/2024 16:30;03/12/2024 15:30;12,2251;20,1782;31,738;53,3784;40,8524;21,5356
03/12/2024 16:45;03/12/2024 15:45;12,2287;23,0141;31,6693;62,7912;40,7251;17,7443
03/12/2024 17:00;03/12/2024 16:00;12,2143;14,7792;31,9697;32,6172;41,2453;17,9813
03/12/2024 17:15;03/12/2024 16:15;12,2179;16,9388;31,8469;40,5384;41,0394;21,0737
03/12/2024 17:30;03/12/2024 16:30;12,1817;24,6319;31,5999;68,0772;40,7251;19,3995
03/12/2024 17:45;03/12/2024 16:45;12,2143;14,8069;31,9022;32,832;40,7441;17,514
03/12/2024 18:00;03/12/2024 17:00;12,1745;19,9092;31,6613;51,7692;40,3892;22,3185
03/12/2024 18:15;03/12/2024 17:15;12,1781;18,695;31,6786;46,1496;38,3791;22,737
03/12/2024 18:30;03/12/2024 17:30;12,1781;31,3835;30,8749;84,7356;32,6224;21,3961
03/12/2024 18:45;03/12/2024 17:45;12,1889;25,0393;31,2917;68,3628;32,7118;19,7788
03/12/2024 19:00;03/12/2024 18:00;12,2251;23,6865;31,4869;64,9704;35,1201;18,2034
03/12/2024 19:15;03/12/2024 18:15;12,2143;14,8148;31,86;32,5116;40,8524;14,4623
03/12/2024 19:30;03/12/2024 18:30;12,2287;14,8069;31,8495;32,4048;40,8524;14,0004
03/12/2024 19:45;03/12/2024 18:45;99,8553;0,2;32,3345;0;41,7762;18,9931
03/12/2024 20:00;03/12/2024 19:00;12,2179;19,7748;31,6577;50,8656;40,4813;21,3974
03/12/2024 20:15;03/12/2024 19:15;12,2143;15,859;31,8834;35,5884;40,4813;16,8205
03/12/2024 20:30;03/12/2024 19:30;12,2287;14,9137;31,8345;32,622;40,3079;14,4623
03/12/2024 20:45;03/12/2024 19:45;99,8445;0,2;32,3916;0;41,4999;17,514
03/12/2024 21:00;03/12/2024 20:00;12,1781;17,6152;31,7459;42,732;40,3892;22,1356
03/12/2024 21:15;03/12/2024 20:15;12,1889;21,527;31,7043;57,3096;40,3892;17,7443
03/12/2024 21:30;03/12/2024 20:30;12,207;14,7832;31,884;32,1492;40,7603;17,0047
03/12/2024 21:45;03/12/2024 20:45;12,1781;14,7871;31,8874;31,9764;40,4813;17,2824
03/12/2024 22:00;03/12/2024 21:00;12,1926;14,7871;31,9792;32,4432;41,4078;18,1411
03/12/2024 22:15;03/12/2024 21:15;12,1926;15,859;31,939;35,8056;41,3157;20,7784
03/12/2024 22:30;03/12/2024 21:30;12,1998;22,2033;31,7367;60,1776;40,9446;19,5945
03/12/2024 22:45;03/12/2024 21:45;12,1962;14,8623;32,0465;32,886;40,95;17,7903
03/12/2024 23:00;03/12/2024 22:00;12,1962;17,2078;31,9076;42,1044;40,8524;21,2579
03/12/2024 23:15;03/12/2024 22:15;12,2179;25,7117;31,59;71,2932;40,205;19,1746
03/12/2024 23:30;03/12/2024 22:30;12,1926;14,9809;32,0209;33,6492;40,9446;17,4205
03/12/2024 23:45;03/12/2024 22:45;12,2251;17,4767;31,9718;42,5628;41,4132;21,5356
04/12/2024;03/12/2024 23:00;12,2287;29,6274;31,5519;82,764;41,1288;20,0104
04/12/2024 00:15;03/12/2024 23:15;12,2106;20,4472;31,9444;54,7992;41,5893;17,1442
04/12/2024 00:30;03/12/2024 23:30;12,2432;17,4767;32,0415;43,3284;41,6841;21,1658
